"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"0610005C13Rik",0,0,2.5802,0,0,0,0,0,0
"0610007P14Rik",54.4738,51.2273,39.3153,51.0277,93.8255,103.306,84.0112,101.525,84.2527
"0610009B22Rik",15.6922,11.0193,9.30307,14.9156,11.512,13.6893,6.13921,16.101,21.4701
"0610009L18Rik",5.57423,0,0,0,0,9.7255,2.90773,0,1.52534
"0610009O20Rik",8.67546,10.6991,5.01778,4.02251,6.20921,7.38356,6.6226,11.0967,8.68522
"0610010B08Rik",0,0,0,0,0,0,0,0,0
"0610010F05Rik",1.77518,1.16357,0.935477,0.749925,2.60459,2.0648,1.852,1.3492,2.75265
"0610010K14Rik",78.1943,67.428,120.395,86.4921,41.2642,46.1177,85.0785,42.192,50.57
"0610011F06Rik",51.9543,53.6521,48.3153,33.8905,36.4329,33.3257,23.9129,33.0996,50.177
"0610012G03Rik",19.0853,22.1663,18.8579,16.2803,12.1165,6.40359,15.3163,5.02116,12.5542
"0610030E20Rik",3.68052,2.51092,2.90932,0.666359,1.15718,0,2.74271,0.479542,2.30203
"0610031J06Rik",35.2385,45.083,39.9896,48.6392,31.9944,39.5673,45.4993,44.5493,31.9832
"0610031O16Rik",0,0,0,0,0,0,0,0,0
"0610037L13Rik",13.4659,13.0937,10.9172,13.1277,15.1981,24.0967,16.2099,18.8946,22.6758
"0610038B21Rik",0.705182,1.48566,4.18066,2.23428,2.58666,6.15174,0.919622,0,0.964832
"0610039K10Rik",57.7943,72.4424,39.2983,15.7518,38.7515,21.685,53.4878,51.0106,45.9142
"0610040B10Rik",0,0,0,0,0,17.0047,5.08405,0,0
"0610040F04Rik",0,0,0,0,0,0,2.08501,0,0
"0610040J01Rik",0.279291,0,0,0,0,0,0,0,0
"0610043K17Rik",0,0,0,0,0,0,0,0,0
"1010001N08Rik",0,0,0,0,0,0,0,0,0
"1100001G20Rik",17.6914,16.5616,7.7691,0,0,0,0,0,2.68949
"1110001J03Rik",197.997,231.693,199.473,159.908,121.045,67.7355,116.446,66.3906,140.762
"1110002L01Rik",0.752108,0.422553,0,0.953186,1.10351,2.62444,1.17698,3.42978,0.411615
"1110004E09Rik",31.9781,44.2326,30.6394,24.5621,35.5448,21.1337,32.8564,27.6188,31.1571
"1110004F10Rik",60.6461,65.5218,55.3137,61.5865,79.8553,37.3051,81.116,76.2312,78.721
"1110006O24Rik",0.821961,4.61755,3.24865,5.20857,3.01501,0,2.14383,1.87416,0
"1110007C09Rik",21.6412,28.2228,24.438,4.89769,8.50516,40.455,20.1587,5.2869,12.6898
"1110008F13Rik",147.679,164.234,249.526,128.717,390.666,325.666,220.508,150.212,129.946
"1110008L16Rik",3.51695,3.14348,3.79094,4.05201,3.51829,2.78914,3.33558,3.28051,3.06212
"1110008P14Rik",20.4395,21.5288,44.4309,25.904,29.9894,53.4919,26.655,20.9719,30.7619
"1110012L19Rik",5.44504,2.29424,6.45616,6.90078,1.99728,9.50009,7.10083,8.6907,5.21494
"1110015O18Rik",0,0,0,0,0,0,0,0,0
"1110017D15Rik",0,0,0,0,0,0,0,0,0
"1110019D14Rik",0.718773,0,0,0,1.31825,0,0,0,0
"1110020A21Rik",0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0
"1110032A03Rik",0.58967,0.414105,0,0,0,0,0,0,0
"1110032F04Rik",25.298,21.2092,16.2767,2.48538,1.43868,3.42155,9.71825,5.81294,9.9277
"1110034G24Rik",3.67026,4.63945,5.80242,9.30302,5.38511,0,1.91454,2.51058,3.51516
"1110036E04Rik",0,0,0,0,0,0,0,0,0
"1110037F02Rik",21.9802,22.0656,24.7828,18.3717,28.194,27.0564,21.1025,26.596,24.1695
"1110038B12Rik",119.712,123.652,162.411,210.866,57.3834,31.6763,113.428,63.5529,98.9595
"1110038F14Rik",30.3749,37.5125,26.9081,46.4604,17.2889,18.2745,19.1229,17.9116,19.3465
"1110046J04Rik",0,0,0,0,0,0,0,0,0
"1110051M20Rik",3.67039,3.31406,1.03618,6.64525,0.96166,0,2.05137,2.39111,2.15222
"1110054M08Rik",1.42747,0,2.82091,0,2.61803,6.22635,3.7231,0,0
"1110057K04Rik",14.1838,9.94262,7.44221,17.9006,12.0889,12.3155,23.3275,22.7454,21.352
"1110058L19Rik",19.001,23.876,11.8576,31.6854,0,17.4481,10.4333,27.3627,27.3655
"1110059E24Rik",23.9329,31.4799,16.5158,28.887,45.9839,36.4539,22.7887,45.9077,27.0276
"1110059G10Rik",3.98299,4.76556,6.41343,3.73915,12.9866,9.00825,8.07985,6.3908,12.9174
"1110065P20Rik",9.96899,15.1675,13.1335,5.26426,6.09449,21.7414,13.0005,9.471,17.0495
"1190002F15Rik",12.2302,15.4586,19.3358,23.2504,17.9447,10.6691,15.9494,11.1544,3.34631
"1190002N15Rik",1.11908,1.74647,2.45721,1.57586,1.36829,2.16944,0.972926,0.567031,0.850631
"1190003K10Rik",0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0,0,0,0
"1190007I07Rik",27.4858,23.9316,37.0416,21.5958,19.1184,22.2977,16.9,15.5413,29.1429
"1200014J11Rik",7.58683,4.52084,8.17788,6.313,8.43303,8.02238,8.19497,11.3578,9.54151
"1300002E11Rik",6.02057,5.14371,4.75904,7.63017,13.2503,0,18.8433,19.2186,6.58585
"1300002K09Rik",0,0,0,0,0,0,0,0,0
"1300017J02Rik",0,0,0,0,0,0,0,0,0
"1500004A13Rik",0,0,0,0,0.99761,0,0.354676,0.620125,0
"1500009C09Rik",0.346723,0,0,0,0,0,0,0,0
"1500009L16Rik",0,0,0,0,3.44353,0,0,1.07027,0
"1500011B03Rik",11.5826,11.3868,1.62742,22.0367,18.9503,0,9.05951,16.0904,11.1022
"1500011K16Rik",9.16841,7.51129,3.01971,24.2075,11.2101,13.3303,3.98548,3.48417,11.4989
"1500012F01Rik",50.3363,34.1279,41.1611,43.9961,31.8346,30.2838,47.5352,63.3228,36.81
"1500012K07Rik",0,0,0,0,0,0,0,0,0
"1500015A07Rik",0.280299,0,0,3.55237,0,0,0.73107,0,0.383506
"1500015L24Rik",0,0,0,0,0,0,0,0,0
"1500015O10Rik",0,0,0,0,0,0,0,0,0
"1500017E21Rik",0,0,0,0,0,0,0,0,0
"1600002D24Rik",0,0,0,0,0,0,0,0,0
"1600002H07Rik",4.80065,3.70849,9.48685,7.60513,6.16319,4.1879,6.26049,5.473,7.22509
"1600002K03Rik",34.1747,21.8157,28.6541,59.0612,30.3891,81.3074,37.8144,63.7544,63.7608
"1600010M07Rik",302.061,197.122,44.3807,483.858,16.4755,39.1831,225.513,87.0517,9.21816
"1600012H06Rik",2.91902,3.90146,2.3291,2.56298,1.48168,3.52855,2.85513,1.79154,1.34377
"1600014C10Rik",6.2915,4.89112,5.00481,2.00605,2.32243,2.76167,2.88989,2.16547,0.86621
"1600014C23Rik",0,0,0,0,0,0,0,0,0
"1600014K23Rik",0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0
"1600016N20Rik",0.252514,0.354666,0.998016,0,0.926242,0,0.658603,0.57576,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0
"1600020E01Rik",0,5.13892,4.82084,0,4.47409,10.6412,3.18118,16.6881,0
"1600023N17Rik",0,0,0,0,0,0,0,0,0
"1600025M17Rik",0,0,0,0,0,0,3.51253,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0
"1600029I14Rik",0,0,0,0,0,0,0,0,0
"1600029O15Rik",0.869655,0,2.29144,0,2.12664,0,0,0.66097,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0
"1700001G11Rik",0,0,0,0,0,0,0,1.87086,0
"1700001G17Rik",0,0,0,0,0,0,1.76687,0,0
"1700001J03Rik",0,0,0,0,0,0,2.10668,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0
"1700001K23Rik",0,0,0,0,0,0,0,0,0
"1700001L05Rik",0.080346,0.677112,0,0.509133,0.294715,0.700909,1.04779,0.732792,0.439719
"1700001L19Rik",0,0,0,0,0,0,0,0,0
"1700001O22Rik",0.376208,0,0,0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0.551069,0,0,0,0,0,0,0
"1700003E16Rik",0,0,0,0,0,0,0,0,0
"1700003E24Rik",0,0,0,0,0,0,0,0,0
"1700003F12Rik",0,0,0,0,0,0,0,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0
"1700003M02Rik",0,0,0,0,1.12858,0,0,0,0
"1700003M07Rik",0,0,0,0,0,0,0,0,0
"1700003P14Rik",0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0
"1700007J10Rik",2.04879,0.719377,2.02437,0,0,4.46822,1.33591,0,1.40158
"1700007K09Rik",0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,1.08549,0,0,0,0,0,0,0
"1700007L15Rik",4.26783,2.39754,3.37356,10.8177,0,7.44618,0,1.94622,5.83926
"1700007P06Rik",0,0,0,0,0,0,0,0,0
"1700008F21Rik",0,0,0,0,0,0,0,0,0
"1700008I05Rik",0,0,0,0,0,0,0,0,0
"1700008J07Rik",7.31294,5.28242,7.43222,7.94406,5.36487,1.82272,9.26427,5.71691,4.00224
"1700008K24Rik",0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,1.84391,0,0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0
"1700009N14Rik",0.439313,0,0,0,0,0,0,0,0.60107
"1700009P17Rik",0,0,2.21146,3.54564,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0
"1700010I14Rik",1.66775,0.390403,1.09858,0,3.05872,0,2.1749,1.26755,0
"1700010J16Rik",0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0
"1700012D01Rik",1.88677,0,0,0,0,0,0,0,0
"1700012D14Rik",4.35523,3.0582,4.30332,6.89951,0,0,5.67963,2.4826,0
"1700012I11Rik",0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,2.21813,0,0
"1700016D06Rik",0,0,0,0,0,0,0,0,0
"1700016G22Rik",0,0,0,0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,5.64708,1.68836,1.47599,1.77136
"1700016L04Rik",0,0,0,0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0,0,0,0
"1700017B05Rik",47.6704,54.6441,52.9412,36.8233,30.3473,30.0724,35.1935,36.8301,27.6253
"1700017D01Rik",0,0,0,0,0,0,0,0,0
"1700017G19Rik",0,0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0,0
"1700018B08Rik",1.06052,2.23422,0,0,0,0,0,0,0
"1700018B24Rik",0,0,0,0,0,0,0.383662,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0,0
"1700018L02Rik",6.23857,6.25864,15.8508,14.1187,8.17269,0,8.13568,5.08023,4.87751
"1700019A02Rik",0,0,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0
"1700019B21Rik",0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,0,0
"1700019E08Rik",0,0,0,0,0,0,0,0,0
"1700019G17Rik",0,0.707379,0.641279,1.02816,0,0,0,1.14522,0.443992
"1700019G24Rik",0,0,0,0,0,0,0,3.38348,0
"1700019L03Rik",0,0,0,0,0,0,0,0,0
"1700019M22Rik",0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,0,0,0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0,0,0,0
"1700020I14Rik",4.34879,4.85688,7.81269,2.50517,0,0,6.31324,0.901371,1.62268
"1700020L24Rik",0,0.896705,0,0,0,0,0,0,0.873552
"1700020M21Rik",0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0
"1700020N18Rik",1.34673,0,0,0,0,0,0,0,0
"1700021F05Rik",16.0485,9.39146,15.8572,4.23732,19.6224,35.0003,13.9525,18.2962,21.9576
"1700021F07Rik",0,0,0,0,0,0,0,0,0
"1700021K19Rik",11.7065,11.176,15.9046,16.8067,16.4381,7.18039,15.7435,15.8485,14.7658
"1700021N21Rik",0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,0,0,0,0,0,0
"1700023C21Rik",0,0,0,0,0,0,0,0,0
"1700023E05Rik",0,0,0,0,0,0,0,0,0
"1700023F02Rik",0,0,0,0,0,0,0,0,0
"1700023F06Rik",0,0,0,0,0,0,0,0,0
"1700023L04Rik",1.01537,0,0,0,0,0,0,0,0
"1700024B18Rik",0,0,0,0,0,0,0,0,0
"1700024F13Rik",0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0
"1700024P16Rik",0,0,0,0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0,0
"1700025G04Rik",0.195194,0.274166,0,0,0,0.4257,0.254551,0.111266,0.0667664
"1700025K24Rik",0,0,0,0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0,0,0,0
"1700025N23Rik",0,0,0,0,0,5.80011,0,0,0
"1700026D08Rik",0,0,0,0,0,0,0,0,0
"1700026D11Rik",0,0,0,0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0,0,0,0
"1700026L06Rik",0,0,0,0,0,0,2.58613,0,0
"1700027A15Rik",0,0,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0,0,0,0
"1700027J07Rik",0,0,0,0,0,0,0,0,0
"1700028B04Rik",0,1.86433,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0,0
"1700028E10Rik",0.608458,0.854562,0,0,0,0,0,0,0
"1700028I16Rik",0,0,0,0,0,0,0,0,0
"1700028J19Rik",0.472724,0.663941,0,0,0,0,0,1.07786,0
"1700028K03Rik",0,0,0,0,0,0,0,0,0
"1700028M03Rik",0,0,0,0,0,0,0,0,0
"1700028P14Rik",0,0,0,0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0,0,0,0
"1700029H14Rik",0,0,0,0,0,0,0,0,0
"1700029I15Rik",0,4.00071,0,0,0,0,0,0,0
"1700029J03Rik",0,0,0,0,0,0,0,0,0
"1700029J07Rik",0.183597,0,0.725632,0,0.673445,0,0,0.418621,0
"1700029M20Rik",0,0,0,0,0,0,0,0,0
"1700029N11Rik",0,0,0,0,0,0,0,0,0
"1700029P11Rik",0,0,0,0,0,0,0,0,0
"1700030A11Rik",0,0,0,0,0,0,0,0,0
"1700030C10Rik",0.612124,0.859747,0,0,0,0,1.59653,0.697855,0
"1700030F04Rik",0,0,0,0,0,0,0,0,0
"1700030F18Rik",0,0,0,0,0,0,0,0,0
"1700030J22Rik",0,0,0,0,0,0,0,0,0
"1700030K09Rik",12.9834,10.2945,14.0702,11.9428,22.2758,21.9218,13.6545,18.6217,14.3258
"1700030L20Rik",0,0,0,0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,4.34937,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0
"1700034F02Rik",0,0.335143,0,0,0,0,0,0,0.326414
"1700034G24Rik",0,0,0,0,0,0,0,0,0
"1700034H15Rik",0,0,0,0,0,0,0,0,0
"1700034I23Rik",0,0,0,0,0,0,0,0,0
"1700034J05Rik",0,0,0,0,0,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0,0,0,0
"1700034P13Rik",23.7929,23.291,25.6465,15.9907,13.2233,18.8691,27.2671,13.1516,15.2903
"1700036G14Rik",0,0,0,0,0,0,0,0,0
"1700037C18Rik",2.601,5.84492,6.16799,3.29638,9.54064,0,2.71355,5.93057,1.42348
"1700037H04Rik",21.0646,16.3663,15.9423,28.4004,31.2354,50.8271,16.3652,13.2849,14.1037
"1700039E15Rik",0.304463,0,1.20333,0,0,0,0,0,0
"1700039E22Rik",0,0,0,0,0,0,0,0,0
"1700040L02Rik",0.449479,0,0,0,0,0,0,0,0.614979
"1700041C23Rik",0,0,0,0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0,0,0,0
"1700042B14Rik",0,0,0,0,0,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0,0,0,0
"1700042O10Rik",0,0,0,0,0,0,0,0,0
"1700044C05Rik",0,0,0,0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0,0,0,0
"1700047A11Rik",0,0,0,7.04766,0,0,0,0,1.5217
"1700047E10Rik",0,0,0,0,0,0,0,0,0
"1700047G03Rik",0,0,0,0,0,0,0,0,0
"1700047L14Rik",0,0,0,0,0,0,0,0,0
"1700047M11Rik",0,0,0,0,0,0,0,0,0
"1700048M11Rik",0,0,0,0,0,0,0,0,0
"1700048O20Rik",0.566043,1.19254,0,3.58687,1.03814,2.46897,1.47634,1.29064,3.87231
"1700049E15Rik",0,0,0,0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0,0,0,0
"1700049G17Rik",0.282126,0.396265,0,0.595921,1.03486,1.64077,0.981114,0,0.514674
"1700049L16Rik",0,0,0,0,0,0,0,0,0
"1700051A21Rik",0,0,0,0,0,0,0,0,0
"1700052I22Rik",0,0,0,0,0,0,0,0,0
"1700052K11Rik",2.10736,2.07192,6.66316,2.67076,3.09197,0,1.09928,2.88301,2.01831
"1700052N19Rik",7.58686,6.89512,9.70125,12.726,12.2776,9.73307,7.56597,9.15823,13.1281
"1700054A03Rik",0,0,0,0,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,0,0,0,0,0
"1700054O13Rik",0,0,0,0,0,0,0,0,0
"1700055C04Rik",0,0,0,0,0,0,7.85465,0,0
"1700055N04Rik",0,0,0,0,0,0,0,0,0
"1700056E22Rik",6.08466,6.83659,2.40485,7.71141,2.2319,0,4.76098,0,4.16253
"1700057G04Rik",0,0,0,0,0,0,0,0,0
"1700057H15Rik",0,0,0,0,0,0,0,0,0
"1700060C16Rik",0,0,0,0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0,0,0,0
"1700061F12Rik",0,0,0,0,0,0,0,0,0
"1700061G19Rik",0,0,0,0,0,0,0,0,0
"1700061I17Rik",0,0,0,0,0,0,0,0,0
"1700063A18Rik",0,0,0,0,0,0,0,0,0
"1700063D05Rik",0,0,0,0,0,0,0,0,0
"1700063O14Rik",0,0,0,0,0,0,0,0,0
"1700064J06Rik",0,0,0,0,0,0,0,0,0
"1700064M15Rik",0,1.47403,4.1483,0,0,0,0,0,0
"1700065D16Rik",0,0,0,0,0,0,0,3.34094,2.00477
"1700065I16Rik",0,0,0,0,0,0,0,0,0
"1700065J11Rik",0,0,0,0,0,0,0,0,0
"1700065J18Rik",0,0,0,0,0,0,0,0,0
"1700065L07Rik",0,0,0,0,0,0,0,0,0
"1700065O20Rik",0,0,0,0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0,0,0,0
"1700066B19Rik",0.404819,0,0,0,0.742451,0,0,0,0
"1700066M21Rik",1.16289,1.40002,1.31318,0,4.26558,1.44924,3.46633,2.27274,0.68189
"1700066N21Rik",0.813356,0,0,0,0,0,0,0,0
"1700066O22Rik",0,0,0,0,0,0,0,0,0
"1700067G17Rik",0,0,0,0,0,0,0,0,0
"1700067K01Rik",0,0,0,0,0,0,0,0,0
"1700067P10Rik",0,0,0,0,0,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0,0,0,0
"1700069P05Rik",0,0,0,0,0,0,0,0,0
"1700071K01Rik",0,0,0,0,0,0,0,0,0.7619
"1700071M16Rik",0,0,0,0,0,0,0,0,2.52055
"1700072B07Rik",0,0,0,0,0,0,0,0,0
"1700072O05Rik",0,0,0,0,0,0,0,0,0
"1700073E17Rik",0,0.148877,0,0.671661,0,0,0.276453,0,0.435066
"1700074H08Rik",0,0,0,0,0,0,0,0,0
"1700074P13Rik",0,0,0,0,0,0,0,0,0
"1700080E11Rik",0,0,0,0,0,0,0,0,0
"1700080N15Rik",0,0,0,0,0,0,0,0,0
"1700080O16Rik",0,0,0,0,0,0,0,0,0
"1700081H04Rik",0,0,0,0,0,0,0,0,0
"1700084C01Rik",0,0,0,2.38394,0,0,0,0,0
"1700084E18Rik",3.99885,0,0,0,0,0,0,4.55891,5.47124
"1700084F23Rik",0,0.776537,0,0,0,0,0,0,0
"1700084J12Rik",0,0,0,0,0,0,0,0,0
"1700085C21Rik",0,0,0,0,0,0,0,0,0
"1700086L19Rik",0,0,0,0,0,0,0,0,0
"1700086O06Rik",0,3.18415,0,0,1.75896,0,0,0,0
"1700088E04Rik",0,0,0,0,0,0,0,0,0
"1700091H14Rik",0,0,0,0,0,0,0,0,0
"1700092C02Rik",0,0,0,0,0,0,0,0,0
"1700092C10Rik",0,0,0,0,0,0,0,0,0
"1700092E19Rik",0,0,0,0,0,0,0,0,0
"1700092K14Rik",0,0,0,0,0,0,0,0,0
"1700092M07Rik",0,0,0,0,0,0,0,0,0
"1700093K21Rik",0,0,0,0,0,0,1.08643,0,0
"1700094D03Rik",0,0.226085,0,0,0,0,1.25978,0.367019,0
"1700094J05Rik",7.02646,4.11188,4.62847,3.71042,8.59118,10.216,3.05439,2.67019,2.40341
"1700094M24Rik",0,0,0,0,0,0,0,0,0
"1700095A21Rik",0,0,0,0,0,0,0,0,0
"1700095B10Rik",0,0,0,0,0,0,0,0,0
"1700096J18Rik",0,0,0,0,0,0,0,0,0
"1700096K18Rik",2.24097,2.6229,2.95234,2.36675,0,0,0.974144,1.70322,2.04407
"1700097N02Rik",0,0,0,0,0,0,0,0,0
"1700100L14Rik",0,0,0,0,0,0,0,0,0
"1700101E01Rik",0,0,0,0,0,0,0,0,0
"1700101I11Rik",0,0,0,0,0,0,0,0,0
"1700101O22Rik",0,0,0,0,0,0,0,0,0
"1700102H20Rik",0,0,0,0,0,0,6.04248,0,0
"1700102P08Rik",0,0,0,0,0,0,0,0,0
"1700104L18Rik",0,0,0,0,0,0,0,0,0
"1700105P06Rik",0,0,0,0,0,0,0,0,0
"1700106J16Rik",0,0,0,0,0,0,0,0,0
"1700108F19Rik",0,0,0,0,0,0,0,0,0
"1700108J01Rik",0,0,0,0,0,0,0,0,0
"1700109G14Rik",0,0,0,0,0,0,0,0,0
"1700109G15Rik",0,0,0,0,0,0,0,0,0
"1700109H08Rik",0,0,0,0,0,0,0,0,0
"1700109I08Rik",0,0,0,0,0,0,6.22732,0,0
"1700109K24Rik",0,0,0,0,0,0,0,0,0
"1700110C19Rik",0,0,0,0,0,0,0,0,0
"1700110I01Rik",0,0,0,0,0,0,0,0,0
"1700110K17Rik",0.919204,0,0,0,0,0,0,0,0
"1700111N16Rik",0,0,0,0,0,0,0,0,0
"1700112E06Rik",0,0,0,0,0,0,0,0,0
"1700112H15Rik",0,0,0,0,0,0,0,0,0
"1700112J05Rik",0,0,0,0,0,0,0,0,0
"1700113A16Rik",2.9801,5.02256,9.42264,3.77683,0,0,1.55453,0,0.815476
"1700113H08Rik",0,0,0,0,0,0,0,0,0
"1700119H24Rik",0,0,0,0,0,0,0,0,0
"1700120C14Rik",24.889,17.4735,0,31.5431,9.12946,21.7122,12.983,22.6999,13.6223
"1700120E14Rik",0,0,0,0,0,0,0,0,0
"1700120G07Rik",0,0,0,0,0,0,0,0,0
"1700120K04Rik",0,0,0,0,0,0,0,0,0
"1700121L16Rik",0,0,0,0,0,0,0,0,0
"1700121N20Rik",0,0,0,0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0,0,0,0
"1700123I01Rik",0,0,0,0,0,0,0,0,0
"1700123K08Rik",0,0,0,0,0,0,0,0,0
"1700123L14Rik",0,0,0,0,0,0,0,0,0
